"draw","R0","gamma","sigma","rho","prop_symp","immune_frac","total_infections","total_reported","peak_reported_wk","attack_pct","finite"
43,2.68841503454117,0.814836123700779,0.899196367323705,0.193803821900337,0.716465953203209,0,28705.6890468634,3985.89515378045,44,26.8729536106191,TRUE
44,2.47090802207059,1.00164862014169,0.58989536007667,0.306177466105281,0.701024721408554,0,2602.62701447437,558.622586544383,44,2.43646041422428,TRUE
45,2.74395137976149,1.48964583792042,0.979442309757574,0.275509488205056,0.796977945344262,0,82206.7397121653,18050.5437076359,37,76.9581910804768,TRUE
46,2.80481945391074,1.04563686864364,0.796402703494831,0.238646066719249,0.768126814132829,0,59921.1815799722,10984.1783365765,42,56.0954704923911,TRUE
47,2.3687130553779,1.20360407472486,0.596348997108535,0.245277393066259,0.703763899754598,0,1941.82785063364,335.193225629607,44,1.81785044994724,TRUE
48,2.36968226023317,1.21112974156204,0.655404619371477,0.273161517770569,0.871972145078494,0,2887.82826993401,687.849605281354,44,2.70345278967797,TRUE
49,2.67378555995668,1.05802721478961,0.770787997041345,0.268540976343582,0.747426204565789,0,34557.6431265975,6936.22222874995,43,32.3512854583388,TRUE
50,2.13003996904062,1.27532781621574,0.73671234437538,0.296017314794175,0.630307776874868,0,519.394940498159,96.9097548928658,44,0.486233795635798,TRUE
51,2.49463617397022,0.977979965591386,0.964855009471253,0.24377850172979,0.929783041381656,0,18555.0504677848,4205.70846059941,44,17.3703898780985,TRUE
52,2.53538818112783,0.938199538985785,0.762690529005576,0.293956464909051,0.772182074978737,0,9481.72524434312,2152.23702510778,44,8.87635765244629,TRUE
53,2.42627205163442,0.88679771314276,0.632086967355312,0.305539736579769,0.77613544913679,0,1733.15802488575,411.001476493811,44,1.62250329983688,TRUE
54,2.58165133622209,1.15691023889495,0.66394163324763,0.242102535437868,0.854279390001831,0,14479.0673704871,2994.60713767852,44,13.5546408635902,TRUE
55,2.27458333086337,0.916376762798858,0.934470817892745,0.225134733189809,0.748614270130426,0,1939.19767937001,326.830581121715,44,1.81538820386632,TRUE
56,2.69304627506644,0.920256614767163,0.839367684929336,0.21782768126218,0.837513701245102,0,34272.1835710593,6252.40014441589,43,32.0840512741615,TRUE
57,2.24675578471996,0.889249127809797,0.752953225712775,0.173656693717232,0.816977541979574,0,728.57326798134,103.365326075907,44,0.682056981821138,TRUE
